Date,Open,High,Low,Close,Adj Close,Volume
2023-04-12,49.970001,49.970001,49.950001,49.959999,48.054482,397300
2023-04-13,49.990002,49.990002,49.970001,49.990002,48.083347,627700
2023-04-14,50.000000,50.000000,49.990002,50.000000,48.092964,273700
2023-04-17,50.000000,50.009998,49.990002,50.000000,48.092964,348800
2023-04-18,50.009998,50.009998,49.990002,50.000000,48.092964,252900
2023-04-19,50.000000,50.020000,50.000000,50.020000,48.112202,211600
2023-04-20,50.020000,50.029999,50.009998,50.020000,48.112202,348100
2023-04-21,50.029999,50.029999,50.009998,50.009998,48.102577,346100
2023-04-24,50.029999,50.039001,50.020000,50.029999,48.121819,382700
2023-04-25,50.029999,50.029999,50.020000,50.029999,48.121819,280000
2023-04-26,50.040001,50.049999,50.029999,50.040001,48.131432,280700
2023-04-27,50.040001,50.049999,50.040001,50.049999,48.141056,949700
2023-04-28,50.070000,50.070000,50.060001,50.070000,48.160290,461000
2023-05-01,49.889999,49.889999,49.869999,49.880001,48.168022,665100
2023-05-02,49.930000,49.930000,49.880001,49.889999,48.177670,374400
2023-05-03,49.889999,49.889999,49.869999,49.889999,48.177670,425500
2023-05-04,49.910000,49.910000,49.880001,49.910000,48.196987,472100
2023-05-05,49.919998,49.919998,49.900002,49.910000,48.196987,539300
2023-05-08,49.915001,49.919998,49.910000,49.919998,48.206642,522100
2023-05-09,49.919998,49.919998,49.910000,49.919998,48.206642,613600
2023-05-10,49.919998,49.950001,49.910000,49.930000,48.216297,575400
2023-05-11,49.959999,49.959999,49.950001,49.959999,48.245266,359600
2023-05-12,49.959999,49.970001,49.950001,49.959999,48.245266,550500
2023-05-15,49.980000,49.980000,49.959999,49.970001,48.254929,324000
2023-05-16,50.000000,50.000000,49.970001,49.980000,48.264584,341900
2023-05-17,49.985001,49.990002,49.970001,49.970001,48.254929,290600
2023-05-18,50.009998,50.009998,49.990002,50.000000,48.283901,879600
2023-05-19,50.000000,50.000000,49.990002,50.000000,48.283901,254600
2023-05-22,50.009998,50.009998,50.000000,50.009998,48.293552,316800
2023-05-23,50.009998,50.009998,50.000000,50.009998,48.293552,381100
2023-05-24,50.040001,50.040001,50.009998,50.020000,48.303215,330400
2023-05-25,50.040001,50.049999,50.029999,50.049999,48.332184,492900
2023-05-26,50.060001,50.060001,50.042000,50.060001,48.341839,295200
2023-05-30,50.060001,50.070000,50.049999,50.070000,48.351498,341900
2023-05-31,50.080002,50.090000,50.060001,50.080002,48.361153,477500
2023-06-01,49.889999,49.889999,49.880001,49.889999,48.379581,752000
2023-06-02,49.910000,49.910000,49.880001,49.889999,48.379581,787000
2023-06-05,49.910000,49.919998,49.900002,49.910000,48.398972,639300
2023-06-06,49.919998,49.919998,49.910000,49.919998,48.408669,465700
2023-06-07,49.939999,49.939999,49.919998,49.930000,48.418373,664500
2023-06-08,49.950001,49.950001,49.930000,49.939999,48.428062,277500
2023-06-09,49.939999,49.950001,49.930000,49.950001,48.437763,602800
2023-06-12,49.950001,49.959999,49.950001,49.959999,48.447456,465800
2023-06-13,49.959999,49.970001,49.950001,49.959999,48.447456,654500
2023-06-14,50.000000,50.000000,49.959999,49.970001,48.457157,299700
